               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  14,             0.12409,            0.041532,                   0,                   0,                   0,                   0,                   0,             0.10737,            0.059305,                   0,            0.087303,            0.001303,            0.001303
                  15,             0.12189,            0.029624,                   0,                   0,                   0,                   0,                   0,             0.10722,            0.059394,                   0,            0.086389,           0.0013886,           0.0013886
                  16,             0.12266,            0.042267,                   0,                   0,                   0,                   0,                   0,             0.10722,            0.059394,                   0,            0.085473,           0.0014733,           0.0014733
                  17,             0.11599,            0.040191,                   0,                   0,                   0,                   0,                   0,             0.10722,            0.059394,                   0,            0.084557,           0.0015569,           0.0015569
                  18,             0.12251,            0.048937,                   0,                   0,                   0,                   0,                   0,              0.1071,            0.059459,                   0,             0.08364,           0.0016396,           0.0016396
                  19,             0.11405,            0.048685,                   0,                   0,                   0,                   0,                   0,              0.1071,            0.059459,                   0,            0.082721,           0.0017213,           0.0017213
                  20,             0.11224,             0.04812,                   0,                   0,                   0,                   0,                   0,              0.1071,            0.059459,                   0,            0.081802,            0.001802,            0.001802
                  21,             0.12045,            0.047401,                   0,           0.0033333,              0.0625,           0.0020119,          0.00020119,             0.10698,            0.059525,                   0,            0.080882,           0.0018817,           0.0018817
                  22,             0.11678,            0.040379,                   0,           0.0033333,              0.0625,           0.0020119,          0.00020119,             0.10698,            0.059525,                   0,             0.07996,           0.0019604,           0.0019604
                  23,              0.1228,            0.040159,                   0,           0.0033333,              0.0625,           0.0020119,          0.00020119,             0.10698,            0.059525,                   0,            0.079038,           0.0020381,           0.0020381
                  24,             0.11469,            0.037944,                   0,           0.0033333,              0.0625,           0.0020119,          0.00020119,             0.10698,            0.059525,                   0,            0.078115,           0.0021149,           0.0021149
                  25,             0.11852,            0.049677,                   0,           0.0033333,              0.0625,           0.0020087,          0.00020087,             0.10686,            0.059591,                   0,            0.077191,           0.0021906,           0.0021906
                  26,             0.11478,             0.04381,                   0,           0.0033333,              0.0625,           0.0020087,          0.00020087,             0.10686,            0.059591,                   0,            0.076265,           0.0022654,           0.0022654
                  27,             0.11418,            0.048724,                   0,           0.0033333,              0.0625,           0.0020087,          0.00020087,             0.10686,            0.059591,                   0,            0.075339,           0.0023391,           0.0023391
                  28,             0.11603,            0.054267,                   0,           0.0033333,              0.0625,           0.0020087,          0.00020087,             0.10686,            0.059591,                   0,            0.074412,           0.0024119,           0.0024119
                  29,             0.11721,             0.05643,                   0,           0.0033333,              0.0625,           0.0020087,          0.00020087,             0.10673,            0.059659,                   0,            0.073484,           0.0024837,           0.0024837
                  30,             0.11984,            0.054001,                   0,           0.0033333,              0.0625,           0.0020087,          0.00020087,             0.10673,            0.059659,                   0,            0.072554,           0.0025545,           0.0025545
                  31,              0.1182,            0.049177,                   0,           0.0033333,              0.0625,           0.0020087,          0.00020087,             0.10673,            0.059659,                   0,            0.071624,           0.0026243,           0.0026243
                  32,             0.11304,            0.049829,                   0,           0.0033333,              0.0625,           0.0020087,          0.00020087,             0.10673,            0.059659,                   0,            0.070693,           0.0026931,           0.0026931
                  33,             0.12849,            0.040794,                   0,           0.0033333,              0.0625,           0.0020087,          0.00020087,             0.10673,            0.059659,                   0,            0.069761,           0.0027609,           0.0027609
                  34,             0.11854,            0.051678,                   0,           0.0033333,              0.0625,           0.0020286,          0.00020286,             0.10664,            0.059688,                   0,            0.068828,           0.0028278,           0.0028278
                  35,             0.11675,            0.050571,                   0,           0.0033333,              0.0625,           0.0020286,          0.00020286,             0.10664,            0.059688,                   0,            0.067894,           0.0028936,           0.0028936
                  36,             0.11045,            0.058499,                   0,           0.0033333,              0.0625,           0.0020286,          0.00020286,             0.10664,            0.059688,                   0,            0.066958,           0.0029585,           0.0029585
                  37,             0.11713,            0.050557,                   0,           0.0033333,              0.0625,           0.0020286,          0.00020286,             0.10664,            0.059688,                   0,            0.066022,           0.0030223,           0.0030223
                  38,             0.11646,            0.047052,                   0,           0.0033333,              0.0625,           0.0020286,          0.00020286,             0.10664,            0.059688,                   0,            0.065085,           0.0030852,           0.0030852
                  39,             0.11462,            0.060394,                   0,           0.0033333,              0.0625,           0.0020286,          0.00020286,             0.10664,            0.059688,                   0,            0.064147,           0.0031471,           0.0031471
                  40,             0.11579,            0.040685,                   0,           0.0033333,              0.0625,           0.0020055,          0.00020055,             0.10652,            0.059732,                   0,            0.063208,            0.003208,            0.003208
                  41,             0.11414,            0.041962,                   0,           0.0033333,              0.0625,           0.0020055,          0.00020055,             0.10652,            0.059732,                   0,            0.062268,           0.0032679,           0.0032679
                  42,             0.11138,            0.066506,                   0,           0.0033333,              0.0625,           0.0020055,          0.00020055,             0.10652,            0.059732,                   0,            0.061327,           0.0033268,           0.0033268
                  43,             0.11143,            0.053942,                   0,           0.0033333,              0.0625,           0.0020055,          0.00020055,             0.10652,            0.059732,                   0,            0.060385,           0.0033847,           0.0033847
                  44,             0.11838,            0.048949,                   0,           0.0033333,              0.0625,           0.0020055,          0.00020055,             0.10652,            0.059732,                   0,            0.059442,           0.0034417,           0.0034417
                  45,             0.11988,            0.038596,                   0,           0.0033333,              0.0625,           0.0020055,          0.00020055,             0.10652,            0.059732,                   0,            0.058498,           0.0034976,           0.0034976
                  46,             0.11456,            0.042208,                   0,           0.0033333,              0.0625,           0.0020503,          0.00020503,             0.10642,            0.059755,                   0,            0.057553,           0.0035526,           0.0035526
                  47,               0.115,            0.037998,                   0,           0.0033333,              0.0625,           0.0020503,          0.00020503,             0.10642,            0.059755,                   0,            0.056607,           0.0036065,           0.0036065
                  48,             0.11733,            0.036923,                   0,           0.0033333,              0.0625,           0.0020503,          0.00020503,             0.10642,            0.059755,                   0,             0.05566,           0.0036595,           0.0036595
                  49,             0.11558,            0.050696,                   0,           0.0033333,              0.0625,           0.0020503,          0.00020503,             0.10642,            0.059755,                   0,            0.054712,           0.0037115,           0.0037115
                  50,             0.12129,            0.035813,                   0,           0.0033333,              0.0625,           0.0020503,          0.00020503,             0.10642,            0.059755,                   0,            0.053763,           0.0037625,           0.0037625
                  51,              0.1185,            0.038595,                   0,           0.0033333,              0.0625,           0.0020503,          0.00020503,             0.10642,            0.059755,                   0,            0.052813,           0.0038125,           0.0038125
                  52,             0.11367,            0.043924,                   0,           0.0033333,              0.0625,           0.0020503,          0.00020503,             0.10642,            0.059755,                   0,            0.051862,           0.0038615,           0.0038615
                  53,             0.11295,            0.042356,                   0,           0.0033333,              0.0625,           0.0020826,          0.00020826,             0.10635,            0.059746,                   0,             0.05091,           0.0039095,           0.0039095
                  54,             0.11606,            0.047092,                   0,           0.0033333,              0.0625,           0.0020826,          0.00020826,             0.10635,            0.059746,                   0,            0.049957,           0.0039566,           0.0039566
                  55,             0.11654,            0.049828,                   0,           0.0033333,              0.0625,           0.0020826,          0.00020826,             0.10635,            0.059746,                   0,            0.049003,           0.0040026,           0.0040026
                  56,               0.109,             0.05565,                   0,           0.0033333,              0.0625,           0.0020826,          0.00020826,             0.10635,            0.059746,                   0,            0.048048,           0.0040477,           0.0040477
                  57,             0.11043,            0.052255,                   0,           0.0033333,              0.0625,           0.0020826,          0.00020826,             0.10635,            0.059746,                   0,            0.047092,           0.0040917,           0.0040917
                  58,             0.11507,            0.059329,                   0,           0.0033333,              0.0625,           0.0020826,          0.00020826,             0.10635,            0.059746,                   0,            0.046135,           0.0041348,           0.0041348
